Time/sec, Current/A
8.690e+1, 2.407e-7
8.700e+1, 2.423e-7
8.710e+1, 2.496e-7
8.720e+1, 2.550e-7
8.730e+1, 2.487e-7
8.740e+1, 2.405e-7
8.750e+1, 2.384e-7
8.760e+1, 2.462e-7
8.770e+1, 2.520e-7
8.780e+1, 2.493e-7
8.790e+1, 2.404e-7
8.800e+1, 2.361e-7
8.810e+1, 2.418e-7
8.820e+1, 2.504e-7
8.830e+1, 2.503e-7
8.840e+1, 2.409e-7
8.850e+1, 2.354e-7
8.860e+1, 2.400e-7
8.870e+1, 2.466e-7
8.880e+1, 2.489e-7
8.890e+1, 2.415e-7
8.900e+1, 2.336e-7
8.910e+1, 2.355e-7
8.920e+1, 2.450e-7
8.930e+1, 2.491e-7
8.940e+1, 2.424e-7
8.950e+1, 2.344e-7
8.960e+1, 2.335e-7
8.970e+1, 2.397e-7
8.980e+1, 2.474e-7
8.990e+1, 2.431e-7
9.000e+1, 2.344e-7
9.010e+1, 2.305e-7
9.020e+1, 2.362e-7
9.030e+1, 2.445e-7
9.040e+1, 2.437e-7
9.050e+1, 2.351e-7
9.060e+1, 2.281e-7
9.070e+1, 2.326e-7
9.080e+1, 2.412e-7
9.090e+1, 2.432e-7
9.100e+1, 2.357e-7
9.110e+1, 2.286e-7
9.120e+1, 2.296e-7
9.130e+1, 2.377e-7
9.140e+1, 2.418e-7
9.150e+1, 2.367e-7
9.160e+1, 2.280e-7
9.170e+1, 2.268e-7
9.180e+1, 2.329e-7
9.190e+1, 2.405e-7
9.200e+1, 2.381e-7
9.210e+1, 2.290e-7
9.220e+1, 2.249e-7
9.230e+1, 2.289e-7
9.240e+1, 2.375e-7
9.250e+1, 2.379e-7
9.260e+1, 2.305e-7
9.270e+1, 2.234e-7
9.280e+1, 2.258e-7
9.290e+1, 2.344e-7
9.300e+1, 2.382e-7
