Sept. 7, 2020   11:27:42
Amperometric i-t Curve
File: c:\users\asus\desktop\code\testData Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.2
Sample Interval (s) = 0.1
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

tp = 150.40s
ip = 6.189e-6A
Ap = 4.540e-5C

tp = 210.10s
ip = 4.571e-6A
Ap = 3.447e-5C

Time/sec, Current/A
6.170e+1, 6.874e-8
6.180e+1, 6.760e-8
6.190e+1, 7.243e-8
6.200e+1, 7.101e-8
6.210e+1, 7.755e-8
6.220e+1, 7.357e-8
6.230e+1, 7.982e-8
6.240e+1, 7.338e-8
6.250e+1, 8.474e-8
6.260e+1, 7.821e-8
6.270e+1, 8.654e-8
6.280e+1, 7.953e-8
6.290e+1, 8.834e-8
6.300e+1, 8.162e-8
6.310e+1, 8.976e-8
6.320e+1, 8.266e-8
6.330e+1, 9.156e-8
6.340e+1, 8.436e-8
6.350e+1, 9.213e-8
6.360e+1, 8.446e-8
6.370e+1, 9.393e-8
6.380e+1, 8.588e-8
6.390e+1, 9.487e-8
6.400e+1, 8.701e-8
6.410e+1, 9.601e-8
6.420e+1, 8.758e-8
6.430e+1, 9.629e-8
6.440e+1, 8.862e-8
6.450e+1, 9.762e-8
6.460e+1, 8.938e-8
6.470e+1, 9.800e-8
6.480e+1, 9.061e-8
6.490e+1, 9.800e-8
6.500e+1, 9.090e-8
6.510e+1, 9.866e-8
6.520e+1, 9.194e-8
6.530e+1, 9.913e-8
6.540e+1, 9.336e-8
6.550e+1, 9.885e-8
6.560e+1, 9.421e-8
6.570e+1, 9.932e-8
6.580e+1, 9.535e-8
6.590e+1, 9.677e-8
6.600e+1, 9.099e-8
6.610e+1, 9.317e-8
6.620e+1, 9.790e-8
6.630e+1, 9.667e-8
6.640e+1, 9.705e-8
6.650e+1, 9.866e-8
6.660e+1, 1.015e-7
6.670e+1, 9.667e-8
6.680e+1, 1.014e-7
6.690e+1, 9.620e-8
6.700e+1, 1.022e-7
6.710e+1, 9.572e-8
6.720e+1, 1.036e-7
6.730e+1, 9.610e-8
6.740e+1, 9.856e-8
6.750e+1, 9.809e-8
6.760e+1, 1.059e-7
6.770e+1, 9.667e-8
6.780e+1, 1.059e-7
6.790e+1, 9.781e-8
6.800e+1, 1.042e-7
6.810e+1, 9.743e-8
6.820e+1, 1.047e-7
6.830e+1, 9.790e-8
6.840e+1, 1.046e-7
6.850e+1, 9.942e-8
6.860e+1, 1.040e-7
6.870e+1, 1.011e-7
6.880e+1, 1.020e-7
6.890e+1, 1.030e-7
6.900e+1, 1.010e-7
6.910e+1, 1.040e-7
6.920e+1, 1.004e-7
6.930e+1, 1.048e-7
6.940e+1, 9.970e-8
6.950e+1, 1.060e-7
6.960e+1, 9.894e-8
6.970e+1, 1.072e-7
6.980e+1, 9.942e-8
6.990e+1, 1.077e-7
7.000e+1, 9.809e-8
7.010e+1, 1.069e-7
7.020e+1, 9.875e-8
7.030e+1, 1.077e-7
7.040e+1, 9.875e-8
7.050e+1, 1.091e-7
7.060e+1, 9.932e-8
7.070e+1, 1.084e-7
7.080e+1, 9.951e-8
7.090e+1, 1.084e-7
7.100e+1, 1.005e-7
7.110e+1, 1.080e-7
7.120e+1, 9.998e-8
7.130e+1, 1.095e-7
7.140e+1, 1.007e-7
7.150e+1, 1.099e-7
7.160e+1, 1.003e-7
7.170e+1, 1.095e-7
7.180e+1, 1.006e-7
7.190e+1, 1.101e-7
7.200e+1, 1.001e-7
7.210e+1, 1.091e-7
7.220e+1, 1.009e-7
7.230e+1, 1.065e-7
7.240e+1, 9.838e-8
7.250e+1, 1.088e-7
7.260e+1, 1.010e-7
7.270e+1, 1.096e-7
7.280e+1, 1.024e-7
7.290e+1, 1.094e-7
7.300e+1, 1.008e-7
7.310e+1, 1.084e-7
7.320e+1, 1.009e-7
7.330e+1, 1.085e-7
7.340e+1, 1.017e-7
7.350e+1, 1.080e-7
7.360e+1, 1.024e-7
7.370e+1, 1.088e-7
7.380e+1, 1.030e-7
7.390e+1, 1.086e-7
7.400e+1, 1.027e-7
7.410e+1, 1.077e-7
7.420e+1, 1.049e-7
7.430e+1, 1.077e-7
7.440e+1, 1.057e-7
7.450e+1, 1.069e-7
7.460e+1, 1.055e-7
7.470e+1, 1.066e-7
7.480e+1, 1.080e-7
7.490e+1, 1.046e-7
7.500e+1, 1.095e-7
7.510e+1, 1.052e-7
7.520e+1, 1.095e-7
7.530e+1, 1.044e-7
7.540e+1, 1.100e-7
7.550e+1, 1.037e-7
7.560e+1, 1.112e-7
7.570e+1, 1.027e-7
7.580e+1, 1.111e-7
7.590e+1, 1.031e-7
7.600e+1, 1.111e-7
7.610e+1, 1.030e-7
7.620e+1, 1.112e-7
7.630e+1, 1.033e-7
7.640e+1, 1.094e-7
7.650e+1, 1.026e-7
7.660e+1, 1.111e-7
7.670e+1, 1.045e-7
7.680e+1, 1.094e-7
7.690e+1, 1.038e-7
7.700e+1, 1.110e-7
7.710e+1, 1.053e-7
7.720e+1, 1.096e-7
7.730e+1, 1.049e-7
7.740e+1, 1.088e-7
7.750e+1, 1.065e-7
7.760e+1, 1.080e-7
7.770e+1, 1.068e-7
7.780e+1, 1.083e-7
7.790e+1, 1.077e-7
7.800e+1, 1.077e-7
7.810e+1, 1.089e-7
7.820e+1, 1.074e-7
7.830e+1, 1.104e-7
7.840e+1, 1.052e-7
7.850e+1, 1.103e-7
7.860e+1, 1.063e-7
7.870e+1, 1.106e-7
7.880e+1, 1.051e-7
7.890e+1, 1.113e-7
7.900e+1, 1.047e-7
7.910e+1, 1.124e-7
7.920e+1, 1.058e-7
7.930e+1, 1.140e-7
7.940e+1, 1.052e-7
7.950e+1, 1.129e-7
7.960e+1, 1.043e-7
7.970e+1, 1.130e-7
7.980e+1, 1.042e-7
7.990e+1, 1.130e-7
8.000e+1, 1.042e-7
8.010e+1, 1.122e-7
8.020e+1, 1.039e-7
8.030e+1, 1.127e-7
8.040e+1, 1.042e-7
8.050e+1, 1.124e-7
8.060e+1, 1.050e-7
8.070e+1, 1.126e-7
8.080e+1, 1.048e-7
8.090e+1, 1.120e-7
8.100e+1, 1.055e-7
8.110e+1, 1.119e-7
8.120e+1, 1.054e-7
8.130e+1, 1.128e-7
8.140e+1, 1.059e-7
8.150e+1, 1.109e-7
8.160e+1, 1.065e-7
8.170e+1, 1.110e-7
8.180e+1, 1.064e-7
8.190e+1, 1.104e-7
8.200e+1, 1.073e-7
8.210e+1, 1.101e-7
8.220e+1, 1.078e-7
8.230e+1, 1.067e-7
8.240e+1, 1.064e-7
8.250e+1, 1.091e-7
8.260e+1, 1.092e-7
8.270e+1, 1.086e-7
8.280e+1, 1.104e-7
8.290e+1, 1.077e-7
8.300e+1, 1.107e-7
8.310e+1, 1.074e-7
8.320e+1, 1.132e-7
8.330e+1, 1.084e-7
8.340e+1, 1.117e-7
8.350e+1, 1.064e-7
8.360e+1, 1.119e-7
8.370e+1, 1.076e-7
8.380e+1, 1.131e-7
8.390e+1, 1.075e-7
8.400e+1, 1.141e-7
8.410e+1, 1.049e-7
8.420e+1, 1.136e-7
8.430e+1, 1.062e-7
8.440e+1, 1.145e-7
8.450e+1, 1.061e-7
8.460e+1, 1.143e-7
8.470e+1, 1.057e-7
8.480e+1, 1.146e-7
8.490e+1, 1.055e-7
8.500e+1, 1.139e-7
8.510e+1, 1.072e-7
8.520e+1, 1.146e-7
8.530e+1, 1.060e-7
8.540e+1, 1.132e-7
8.550e+1, 1.056e-7
8.560e+1, 1.130e-7
8.570e+1, 1.068e-7
8.580e+1, 1.130e-7
8.590e+1, 1.066e-7
8.600e+1, 1.131e-7
8.610e+1, 1.050e-7
8.620e+1, 1.135e-7
8.630e+1, 1.071e-7
8.640e+1, 1.130e-7
8.650e+1, 1.042e-7
8.660e+1, 1.129e-7
8.670e+1, 1.073e-7
8.680e+1, 1.124e-7
8.690e+1, 1.089e-7
8.700e+1, 1.111e-7
8.710e+1, 1.102e-7
